site_id,intersection,site_location,warnings,citations,number_of_approaches,sensor_type
PI001,Roosevelt Blvd @ Grant Ave,N/B Roosevelt Blvd Svc @ Grant Ave,02/23/2005 12:00:00 AM,06/23/2005 12:00:00 AM,6,PLP
PI002,Roosevelt Blvd @ Grant Ave,N/B Roosevelt Blvd @ Grant Ave,02/23/2005 12:00:00 AM,06/23/2005 12:00:00 AM,6,PLP
PI003,Roosevelt Blvd @ Grant Ave,E/B Grant Ave @ Roosevelt Blvd,02/23/2005 12:00:00 AM,06/23/2005 12:00:00 AM,6,PLP
PI004,Roosevelt Blvd @ Grant Ave,S/B Roosevelt Blvd Svc @ Grant Ave,02/23/2005 12:00:00 AM,06/23/2005 12:00:00 AM,6,PLP
PI005,Roosevelt Blvd @ Grant Ave,S/B Roosevelt Blvd @ Grant Ave,02/23/2005 12:00:00 AM,06/23/2005 12:00:00 AM,6,PLP
PI006,Roosevelt Blvd @ Grant Ave,W/B Grant Ave @ Roosevelt Blvd,02/23/2005 12:00:00 AM,06/23/2005 12:00:00 AM,6,PLP
PI007,Roosevelt Blvd @ Red Lion Rd,N/B Roosevelt Blvd Svc @ Red Lion Rd,05/21/2005 12:00:00 AM,09/18/2005 12:00:00 AM,6,PLP
PI008,Roosevelt Blvd @ Red Lion Rd,N/B Roosevelt Blvd @ Red Lion Rd,05/21/2005 12:00:00 AM,09/18/2005 12:00:00 AM,6,PLP
PI009,Roosevelt Blvd @ Red Lion Rd,E/B Red Lion Rd @ Roosevelt Blvd,05/21/2005 12:00:00 AM,09/18/2005 12:00:00 AM,6,PLP
PI010,Roosevelt Blvd @ Red Lion Rd,S/B Roosevelt Blvd Svc @ Red Lion Rd,05/21/2005 12:00:00 AM,09/18/2005 12:00:00 AM,6,PLP
PI011,Roosevelt Blvd @ Red Lion Rd,S/B Roosevelt Blvd @ Red Lion Rd,05/21/2005 12:00:00 AM,09/18/2005 12:00:00 AM,6,PLP
PI012,Roosevelt Blvd @ Red Lion Rd,W/B Red Lion Rd @ Roosevelt Blvd,05/21/2005 12:00:00 AM,09/18/2005 12:00:00 AM,6,PLP
PI013,Roosevelt Blvd @ Cottman Ave,N/B Roosevelt Blvd @ Cottman Ave,08/25/2005 12:00:00 AM,12/23/2005 12:00:00 AM,4,PLP
PI014,Roosevelt Blvd @ Cottman Ave,E/B Cottman Ave @ Roosevelt Blvd,08/25/2005 12:00:00 AM,12/23/2005 12:00:00 AM,4,PLP
PI015,Roosevelt Blvd @ Cottman Ave,S/B Roosevelt Blvd @ Cottman Ave,08/25/2005 12:00:00 AM,12/23/2005 12:00:00 AM,4,PLP
PI016,Roosevelt Blvd @ Cottman Ave,W/B Cottman Ave @ Roosevelt Blvd,08/25/2005 12:00:00 AM,12/23/2005 12:00:00 AM,4,PLP
PI017,Broad St @ Oregon Ave,N/B Broad St @ Oregon Ave,10/31/2006 12:00:00 AM,01/01/2007 12:00:00 AM,4,PLP
PI018,Broad St @ Oregon Ave,E/B Oregon Ave @ Broad St,10/31/2006 12:00:00 AM,01/01/2007 12:00:00 AM,4,PLP
PI019,Broad St @ Oregon Ave,S/B Broad St @ Oregon Ave,10/31/2006 12:00:00 AM,01/01/2007 12:00:00 AM,4,PLP
PI020,Broad St @ Oregon Ave,W/B Oregon Ave @ Broad St,10/31/2006 12:00:00 AM,01/01/2007 12:00:00 AM,4,PLP
PI021,34th Street @ Grays Ferry Ave,N/B 34th St @ Grays Ferry Ave,12/01/2006 12:00:00 AM,01/30/2007 12:00:00 AM,4,PLP
PI022,35th Street @ Grays Ferry Ave,E/B Grays Ferry Ave @ 34th St,12/01/2006 12:00:00 AM,01/30/2007 12:00:00 AM,4,PLP
PI023,36th Street @ Grays Ferry Ave,S/B 34th St @ Grays Ferry Ave,12/01/2006 12:00:00 AM,01/30/2007 12:00:00 AM,4,PLP
PI024,37th Street @ Grays Ferry Ave,W/B Grays Ferry Ave @ 34th St,12/01/2006 12:00:00 AM,01/30/2007 12:00:00 AM,4,PLP
PI025,Roosevelt Blvd @ Mascher ,N/B Roosevelt Blvd Svc @ Mascher,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
PI026,Roosevelt Blvd @ Mascher ,N/B Roosevelt Blvd @ Mascher,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
PI027,Roosevelt Blvd @ Mascher ,E/B Mascher @ Roosevelt Blvd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
PI028,Roosevelt Blvd @ Mascher ,S/B Roosevelt Blvd Svc @ Mascher,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
PI029,Roosevelt Blvd @ Mascher ,S/B Roosevelt Blvd @ Mascher,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
PI030,Roosevelt Blvd @ Levick St,N/B Roosevelt Blvd Svc @ Levick,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
PI031,Roosevelt Blvd @ Levick St,N/B Roosevelt Blvd @ Levick St,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
PI032,Roosevelt Blvd @ Levick St,S/B Roosevelt Blvd Svc @ Levick St,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
